"Query","UTC DateTime","Response"
"and associates, ranchi (sr. advocate",04/27/2017 05:15:56,"{""query"":"" and Associates, Ranchi (Sr. Advocate "",""intents"":[{""intent"":""None"",""score"":0.3187217},{""intent"":""Internship"",""score"":0.31564635},{""intent"":""extraCurricular"",""score"":0.09135445},{""intent"":""languages"",""score"":0.0450750552},{""intent"":""Interests"",""score"":0.04178443},{""intent"":""workExperience"",""score"":0.01664469},{""intent"":""Education"",""score"":0.009094619},{""intent"":""skills"",""score"":0.00743467174},{""intent"":""Research"",""score"":3.99157365E-08}],""entities"":[]}"
"bronze medal",04/27/2017 05:15:56,"{""query"":""bronze medal"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"poddar",04/27/2017 05:15:56,"{""query"":""Poddar"",""intents"":[{""intent"":""None"",""score"":0.598172843},{""intent"":""Education"",""score"":0.167672873},{""intent"":""Interests"",""score"":0.106092796},{""intent"":""skills"",""score"":0.0232060142},{""intent"":""languages"",""score"":0.0180914},{""intent"":""Internship"",""score"":0.0059553883},{""intent"":""extraCurricular"",""score"":0.004157446},{""intent"":""workExperience"",""score"":0.0016657036},{""intent"":""Research"",""score"":7.784086E-09}],""entities"":[]}"
"obtained highest marks",04/27/2017 05:15:56,"{""query"":""Obtained highest marks"",""intents"":[{""intent"":""None"",""score"":0.2649764},{""intent"":""Internship"",""score"":0.06646872},{""intent"":""Interests"",""score"":0.0663525},{""intent"":""Education"",""score"":0.0447563231},{""intent"":""languages"",""score"":0.04188613},{""intent"":""extraCurricular"",""score"":0.0362701379},{""intent"":""skills"",""score"":0.02321013},{""intent"":""workExperience"",""score"":0.0120164212},{""intent"":""Research"",""score"":8.33873E-07}],""entities"":[]}"
"silver medal",04/27/2017 05:15:56,"{""query"":""silver medal"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"founded",04/27/2017 05:15:56,"{""query"":""Founded"",""intents"":[{""intent"":""None"",""score"":0.18443577},{""intent"":""Education"",""score"":0.156042561},{""intent"":""Interests"",""score"":0.09397894},{""intent"":""skills"",""score"":0.0587119},{""intent"":""languages"",""score"":0.03747309},{""intent"":""Internship"",""score"":0.0331184343},{""intent"":""extraCurricular"",""score"":0.0138081871},{""intent"":""workExperience"",""score"":0.008253962},{""intent"":""Research"",""score"":8.84530346E-06}],""entities"":[]}"
"adjudicator",04/27/2017 05:15:56,"{""query"":""Adjudicator"",""intents"":[{""intent"":""None"",""score"":0.598172843},{""intent"":""Education"",""score"":0.167672873},{""intent"":""Interests"",""score"":0.106092796},{""intent"":""skills"",""score"":0.0232060142},{""intent"":""languages"",""score"":0.0180914},{""intent"":""Internship"",""score"":0.0059553883},{""intent"":""extraCurricular"",""score"":0.004157446},{""intent"":""workExperience"",""score"":0.0016657036},{""intent"":""Research"",""score"":7.784086E-09}],""entities"":[]}"
"winners",04/27/2017 05:15:56,"{""query"":""Winners"",""intents"":[{""intent"":""None"",""score"":0.18443577},{""intent"":""Education"",""score"":0.156042561},{""intent"":""Interests"",""score"":0.09397894},{""intent"":""skills"",""score"":0.0587119},{""intent"":""languages"",""score"":0.03747309},{""intent"":""Internship"",""score"":0.0331184343},{""intent"":""extraCurricular"",""score"":0.0138081871},{""intent"":""workExperience"",""score"":0.008253962},{""intent"":""Research"",""score"":8.84530346E-06}],""entities"":[]}"
"university topper",04/27/2017 05:15:56,"{""query"":""University Topper"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"founded",04/27/2017 05:15:56,"{""query"":""Founded"",""intents"":[{""intent"":""None"",""score"":0.18443577},{""intent"":""Education"",""score"":0.156042561},{""intent"":""Interests"",""score"":0.09397894},{""intent"":""skills"",""score"":0.0587119},{""intent"":""languages"",""score"":0.03747309},{""intent"":""Internship"",""score"":0.0331184343},{""intent"":""extraCurricular"",""score"":0.0138081871},{""intent"":""workExperience"",""score"":0.008253962},{""intent"":""Research"",""score"":8.84530346E-06}],""entities"":[]}"
"stood 2",04/27/2017 05:15:56,"{""query"":""Stood 2"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"gold medal",04/27/2017 05:16:01,"{""query"":""Gold Medal"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"general counsel in geneva",04/27/2017 05:16:01,"{""query"":""general counsel in Geneva"",""intents"":[{""intent"":""None"",""score"":0.288718849},{""intent"":""Internship"",""score"":0.08136555},{""intent"":""Interests"",""score"":0.06387423},{""intent"":""extraCurricular"",""score"":0.0484040156},{""intent"":""languages"",""score"":0.0430593081},{""intent"":""Education"",""score"":0.0290044751},{""intent"":""skills"",""score"":0.0169932954},{""intent"":""workExperience"",""score"":0.01335752},{""intent"":""Research"",""score"":3.59531242E-07}],""entities"":[]}"
"publications",04/27/2017 05:16:11,"{""query"":""PUBLICATIONS       "",""intents"":[{""intent"":""None"",""score"":0.18443577},{""intent"":""Education"",""score"":0.156042561},{""intent"":""Interests"",""score"":0.09397894},{""intent"":""skills"",""score"":0.0587119},{""intent"":""languages"",""score"":0.03747309},{""intent"":""Internship"",""score"":0.0331184343},{""intent"":""extraCurricular"",""score"":0.0138081871},{""intent"":""workExperience"",""score"":0.008253962},{""intent"":""Research"",""score"":8.84530346E-06}],""entities"":[]}"
"date of birth:",04/27/2017 05:16:11,"{""query"":""Date of Birth: "",""intents"":[{""intent"":""None"",""score"":0.415506929},{""intent"":""Internship"",""score"":0.07520032},{""intent"":""Interests"",""score"":0.0613393523},{""intent"":""extraCurricular"",""score"":0.04494045},{""intent"":""languages"",""score"":0.04094408},{""intent"":""Education"",""score"":0.0265735462},{""intent"":""skills"",""score"":0.0158422049},{""intent"":""workExperience"",""score"":0.012316091},{""intent"":""Research"",""score"":1.79930538E-07}],""entities"":[]}"
"personal details",04/27/2017 05:16:11,"{""query"":""PERSONAL DETAILS"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"person",04/27/2017 05:16:11,"{""query"":""person"",""intents"":[{""intent"":""None"",""score"":0.18443577},{""intent"":""Education"",""score"":0.156042561},{""intent"":""Interests"",""score"":0.09397894},{""intent"":""skills"",""score"":0.0587119},{""intent"":""languages"",""score"":0.03747309},{""intent"":""Internship"",""score"":0.0331184343},{""intent"":""extraCurricular"",""score"":0.0138081871},{""intent"":""workExperience"",""score"":0.008253962},{""intent"":""Research"",""score"":8.84530346E-06}],""entities"":[]}"
"seminars and other workshops",04/27/2017 05:16:11,"{""query"":""SEMINARS AND OTHER WORKSHOPS"",""intents"":[{""intent"":""None"",""score"":0.295224965},{""intent"":""Internship"",""score"":0.08266514},{""intent"":""Interests"",""score"":0.0591978841},{""intent"":""extraCurricular"",""score"":0.04919569},{""intent"":""languages"",""score"":0.04340973},{""intent"":""Education"",""score"":0.0292365178},{""intent"":""skills"",""score"":0.0171178486},{""intent"":""workExperience"",""score"":0.013556256},{""intent"":""Research"",""score"":3.89874657E-07}],""entities"":[]}"
"election commission",04/27/2017 05:16:11,"{""query"":""Election Commission "",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"vice chair",04/27/2017 05:16:11,"{""query"":""Vice Chair"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"other accomplishments",04/27/2017 05:16:11,"{""query"":""OTHER ACCOMPLISHMENTS"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"legal voice of india",04/27/2017 05:16:11,"{""query"":""Legal Voice of India"",""intents"":[{""intent"":""None"",""score"":0.407372177},{""intent"":""Internship"",""score"":0.0756554455},{""intent"":""Interests"",""score"":0.0612012036},{""intent"":""extraCurricular"",""score"":0.0451999567},{""intent"":""languages"",""score"":0.0410966277},{""intent"":""Education"",""score"":0.02673543},{""intent"":""skills"",""score"":0.01592037},{""intent"":""workExperience"",""score"":0.0123914154},{""intent"":""Research"",""score"":1.88988665E-07}],""entities"":[]}"
"hobbies and interests",04/27/2017 05:16:11,"{""query"":""HOBBIES AND INTERESTS"",""intents"":[{""intent"":""None"",""score"":0.192593575},{""intent"":""Interests"",""score"":0.187552765},{""intent"":""Internship"",""score"":0.0554217771},{""intent"":""languages"",""score"":0.0372318663},{""intent"":""Education"",""score"":0.03604469},{""intent"":""extraCurricular"",""score"":0.0307710525},{""intent"":""skills"",""score"":0.0195172485},{""intent"":""workExperience"",""score"":0.009940121},{""intent"":""Research"",""score"":1.40880147E-07}],""entities"":[]}"
"organisational experience",04/27/2017 05:16:16,"{""query"":""ORGANISATIONAL EXPERIENCE"",""intents"":[{""intent"":""workExperience"",""score"":0.6502123},{""intent"":""None"",""score"":0.123934425},{""intent"":""Internship"",""score"":0.07366593},{""intent"":""Interests"",""score"":0.0559074581},{""intent"":""Education"",""score"":0.0555279441},{""intent"":""languages"",""score"":0.0241881981},{""intent"":""skills"",""score"":0.0204389151},{""intent"":""extraCurricular"",""score"":0.0100971805},{""intent"":""Research"",""score"":9.363343E-09}],""entities"":[]}"
"languages known",04/27/2017 05:16:16,"{""query"":""Languages known"",""intents"":[{""intent"":""languages"",""score"":0.38046208},{""intent"":""None"",""score"":0.131927475},{""intent"":""Interests"",""score"":0.0613616},{""intent"":""Education"",""score"":0.05695818},{""intent"":""Internship"",""score"":0.0352574736},{""intent"":""skills"",""score"":0.0266152788},{""intent"":""extraCurricular"",""score"":0.0175105557},{""intent"":""workExperience"",""score"":0.00735190371},{""intent"":""Research"",""score"":2.33223673E-07}],""entities"":[]}"
"presented a paper",04/27/2017 05:16:16,"{""query"":""Presented a paper"",""intents"":[{""intent"":""None"",""score"":0.2649764},{""intent"":""Internship"",""score"":0.06646872},{""intent"":""Interests"",""score"":0.0663525},{""intent"":""Education"",""score"":0.0447563231},{""intent"":""languages"",""score"":0.04188613},{""intent"":""extraCurricular"",""score"":0.0362701379},{""intent"":""skills"",""score"":0.02321013},{""intent"":""workExperience"",""score"":0.0120164212},{""intent"":""Research"",""score"":8.33873E-07}],""entities"":[]}"
"1. karthik ranganathan",04/27/2017 05:16:27,"{""query"":""1.  Karthik Ranganathan   \n"",""intents"":[{""intent"":""None"",""score"":0.295224965},{""intent"":""Internship"",""score"":0.08266514},{""intent"":""Interests"",""score"":0.0591978841},{""intent"":""extraCurricular"",""score"":0.04919569},{""intent"":""languages"",""score"":0.04340973},{""intent"":""Education"",""score"":0.0292365178},{""intent"":""skills"",""score"":0.0171178486},{""intent"":""workExperience"",""score"":0.013556256},{""intent"":""Research"",""score"":3.89874657E-07}],""entities"":[]}"
"manpreet",04/27/2017 05:16:27,"{""query"":""Manpreet"",""intents"":[{""intent"":""None"",""score"":0.598172843},{""intent"":""Education"",""score"":0.167672873},{""intent"":""Interests"",""score"":0.106092796},{""intent"":""skills"",""score"":0.0232060142},{""intent"":""languages"",""score"":0.0180914},{""intent"":""Internship"",""score"":0.0059553883},{""intent"":""extraCurricular"",""score"":0.004157446},{""intent"":""workExperience"",""score"":0.0016657036},{""intent"":""Research"",""score"":7.784086E-09}],""entities"":[]}"
"permanent address:",04/27/2017 05:16:27,"{""query"":""Permanent Address:  "",""intents"":[{""intent"":""None"",""score"":0.2649764},{""intent"":""Internship"",""score"":0.06646872},{""intent"":""Interests"",""score"":0.0663525},{""intent"":""Education"",""score"":0.0447563231},{""intent"":""languages"",""score"":0.04188613},{""intent"":""extraCurricular"",""score"":0.0362701379},{""intent"":""skills"",""score"":0.02321013},{""intent"":""workExperience"",""score"":0.0120164212},{""intent"":""Research"",""score"":8.33873E-07}],""entities"":[]}"
"specific academic reference",04/27/2017 05:16:27,"{""query"":""SPECIFIC ACADEMIC REFERENCE"",""intents"":[{""intent"":""None"",""score"":0.2649764},{""intent"":""Internship"",""score"":0.06646872},{""intent"":""Interests"",""score"":0.0663525},{""intent"":""Education"",""score"":0.0447563231},{""intent"":""languages"",""score"":0.04188613},{""intent"":""extraCurricular"",""score"":0.0362701379},{""intent"":""skills"",""score"":0.02321013},{""intent"":""workExperience"",""score"":0.0120164212},{""intent"":""Research"",""score"":8.33873E-07}],""entities"":[]}"
"md. afaan arshad",04/27/2017 05:16:27,"{""query"":""MD. AFAAN ARSHAD \n"",""intents"":[{""intent"":""None"",""score"":0.341527045},{""intent"":""Internship"",""score"":0.0688595846},{""intent"":""Interests"",""score"":0.06005418},{""intent"":""extraCurricular"",""score"":0.043161124},{""intent"":""languages"",""score"":0.0400209464},{""intent"":""Education"",""score"":0.0295137465},{""intent"":""skills"",""score"":0.0153707024},{""intent"":""workExperience"",""score"":0.0113238459},{""intent"":""Research"",""score"":1.75595076E-07}],""entities"":[]}"
"prior internship experience",04/27/2017 05:16:27,"{""query"":""PRIOR INTERNSHIP EXPERIENCE \n"",""intents"":[{""intent"":""Internship"",""score"":0.640836656},{""intent"":""None"",""score"":0.10694924},{""intent"":""workExperience"",""score"":0.0511475541},{""intent"":""Interests"",""score"":0.0459116846},{""intent"":""languages"",""score"":0.0291923452},{""intent"":""Education"",""score"":0.0289845243},{""intent"":""extraCurricular"",""score"":0.0200398732},{""intent"":""skills"",""score"":0.0181098189},{""intent"":""Research"",""score"":1.46477026E-08}],""entities"":[]}"
"a c a d e m i c p e r f o r m a n c e",04/27/2017 05:16:27,"{""query"":""A C A D E M I C   P E R F O R M A N C E  \n"",""intents"":[{""intent"":""None"",""score"":0.5313411},{""intent"":""Internship"",""score"":0.276789963},{""intent"":""extraCurricular"",""score"":0.268511623},{""intent"":""languages"",""score"":0.05375738},{""intent"":""Interests"",""score"":0.02852515},{""intent"":""workExperience"",""score"":0.0281343758},{""intent"":""skills"",""score"":0.00251030037},{""intent"":""Education"",""score"":0.00192218274},{""intent"":""Research"",""score"":3.29168048E-09}],""entities"":[]}"
"education",04/27/2017 05:16:27,"{""query"":""EDUCATION \n"",""intents"":[{""intent"":""Education"",""score"":0.482394964},{""intent"":""None"",""score"":0.10510537},{""intent"":""Interests"",""score"":0.07567944},{""intent"":""skills"",""score"":0.0449804552},{""intent"":""languages"",""score"":0.0310537219},{""intent"":""Internship"",""score"":0.0245785974},{""intent"":""extraCurricular"",""score"":0.0105768414},{""intent"":""workExperience"",""score"":0.006101872},{""intent"":""Research"",""score"":5.26751364E-07}],""entities"":[]}"
"gujarat national law university, gandhinagar:",04/27/2017 05:16:27,"{""query"":""Gujarat National Law University, Gandhinagar:  \n"",""intents"":[{""intent"":""None"",""score"":0.3649497},{""intent"":""Internship"",""score"":0.128924638},{""intent"":""extraCurricular"",""score"":0.09186747},{""intent"":""languages"",""score"":0.04679362},{""intent"":""Interests"",""score"":0.0464310423},{""intent"":""workExperience"",""score"":0.0174637418},{""intent"":""Education"",""score"":0.011733612},{""intent"":""skills"",""score"":0.008970894},{""intent"":""Research"",""score"":7.861108E-08}],""entities"":[]}"
"rajpal",04/27/2017 05:16:27,"{""query"":""Rajpal"",""intents"":[{""intent"":""None"",""score"":0.598172843},{""intent"":""Education"",""score"":0.167672873},{""intent"":""Interests"",""score"":0.106092796},{""intent"":""skills"",""score"":0.0232060142},{""intent"":""languages"",""score"":0.0180914},{""intent"":""Internship"",""score"":0.0059553883},{""intent"":""extraCurricular"",""score"":0.004157446},{""intent"":""workExperience"",""score"":0.0016657036},{""intent"":""Research"",""score"":7.784086E-09}],""entities"":[]}"
"aesa dey",04/27/2017 05:16:32,"{""query"":""AESA DEY \n"",""intents"":[{""intent"":""None"",""score"":0.283880144},{""intent"":""Interests"",""score"":0.0782360956},{""intent"":""Education"",""score"":0.0774251744},{""intent"":""Internship"",""score"":0.03868419},{""intent"":""languages"",""score"":0.03582376},{""intent"":""skills"",""score"":0.0296866968},{""intent"":""extraCurricular"",""score"":0.0203232076},{""intent"":""workExperience"",""score"":0.008058878},{""intent"":""Research"",""score"":7.567871E-07}],""entities"":[]}"
"oct - nov 2015",04/27/2017 05:16:42,"{""query"":""     Oct - Nov 2015 \n"",""intents"":[{""intent"":""None"",""score"":0.270054132},{""intent"":""extraCurricular"",""score"":0.0843479261},{""intent"":""Internship"",""score"":0.07862592},{""intent"":""Interests"",""score"":0.0578378849},{""intent"":""languages"",""score"":0.0423335172},{""intent"":""Education"",""score"":0.0287415553},{""intent"":""skills"",""score"":0.0168599263},{""intent"":""workExperience"",""score"":0.0129812816},{""intent"":""Research"",""score"":3.38960973E-07}],""entities"":[]}"
"may 2015",04/27/2017 05:16:42,"{""query"":""May 2015 \n"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"3. nishith desai associates, mumbai",04/27/2017 05:16:42,"{""query"":""3.  Nishith Desai Associates, Mumbai \n"",""intents"":[{""intent"":""None"",""score"":0.407619327},{""intent"":""Internship"",""score"":0.111336879},{""intent"":""extraCurricular"",""score"":0.08266216},{""intent"":""Interests"",""score"":0.0470044836},{""intent"":""languages"",""score"":0.0437053479},{""intent"":""workExperience"",""score"":0.0150142759},{""intent"":""Education"",""score"":0.0118290521},{""intent"":""skills"",""score"":0.008186684},{""intent"":""Research"",""score"":4.012489E-08}],""entities"":[]}"
"april 2015",04/27/2017 05:16:47,"{""query"":""April 2015  \n"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"4. indfrag ltd., bangalore",04/27/2017 05:16:58,"{""query"":""4.  Indfrag Ltd., Bangalore \n"",""intents"":[{""intent"":""None"",""score"":0.415487766},{""intent"":""Internship"",""score"":0.108397163},{""intent"":""extraCurricular"",""score"":0.08109375},{""intent"":""Interests"",""score"":0.04710862},{""intent"":""languages"",""score"":0.0431693979},{""intent"":""workExperience"",""score"":0.0146099525},{""intent"":""Education"",""score"":0.0118463477},{""intent"":""skills"",""score"":0.008052655},{""intent"":""Research"",""score"":3.55412233E-08}],""entities"":[]}"
"oct-nov 2014",04/27/2017 05:16:58,"{""query"":""                   Oct-Nov 2014 \n"",""intents"":[{""intent"":""None"",""score"":0.268740237},{""intent"":""extraCurricular"",""score"":0.08677338},{""intent"":""Internship"",""score"":0.07841402},{""intent"":""Interests"",""score"":0.0577656329},{""intent"":""languages"",""score"":0.04227641},{""intent"":""Education"",""score"":0.028715184},{""intent"":""skills"",""score"":0.0168461688},{""intent"":""workExperience"",""score"":0.0129510658},{""intent"":""Research"",""score"":3.364207E-07}],""entities"":[]}"
"5. nishith desai associates, bangalore",04/27/2017 05:16:58,"{""query"":""5.  Nishith Desai Associates, Bangalore   \n"",""intents"":[{""intent"":""None"",""score"":0.4078391},{""intent"":""Internship"",""score"":0.111253612},{""intent"":""extraCurricular"",""score"":0.082617864},{""intent"":""Interests"",""score"":0.0470073968},{""intent"":""languages"",""score"":0.0436902419},{""intent"":""workExperience"",""score"":0.0150028029},{""intent"":""Education"",""score"":0.0118295373},{""intent"":""skills"",""score"":0.008182906},{""intent"":""Research"",""score"":3.998889E-08}],""entities"":[]}"
"april 2014",04/27/2017 05:17:02,"{""query"":""April 2014 \n"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"6. chakraborty and associates, kolkata",04/27/2017 05:17:02,"{""query"":""6.  Chakraborty and Associates, Kolkata  \n"",""intents"":[{""intent"":""None"",""score"":0.3649497},{""intent"":""Internship"",""score"":0.128924638},{""intent"":""extraCurricular"",""score"":0.09186747},{""intent"":""languages"",""score"":0.04679362},{""intent"":""Interests"",""score"":0.0464310423},{""intent"":""workExperience"",""score"":0.0174637418},{""intent"":""Education"",""score"":0.011733612},{""intent"":""skills"",""score"":0.008970894},{""intent"":""Research"",""score"":7.861108E-08}],""entities"":[]}"
"8. bar and bench, bangalore",04/27/2017 05:17:13,"{""query"":""8.  Bar And Bench, Bangalore \n"",""intents"":[{""intent"":""None"",""score"":0.3649497},{""intent"":""Internship"",""score"":0.128924638},{""intent"":""extraCurricular"",""score"":0.09186747},{""intent"":""languages"",""score"":0.04679362},{""intent"":""Interests"",""score"":0.0464310423},{""intent"":""workExperience"",""score"":0.0174637418},{""intent"":""Education"",""score"":0.011733612},{""intent"":""skills"",""score"":0.008970894},{""intent"":""Research"",""score"":7.861108E-08}],""entities"":[]}"
"november 2013",04/27/2017 05:17:18,"{""query"":""November 2013 \n"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"afreen abbassi",04/27/2017 05:17:29,"{""query"":""AFREEN ABBASSI"",""intents"":[{""intent"":""None"",""score"":0.276340663},{""intent"":""Interests"",""score"":0.07804355},{""intent"":""Education"",""score"":0.0773037151},{""intent"":""Internship"",""score"":0.039991416},{""intent"":""languages"",""score"":0.03634003},{""intent"":""skills"",""score"":0.0302433949},{""intent"":""extraCurricular"",""score"":0.02080681},{""intent"":""workExperience"",""score"":0.008317818},{""intent"":""Research"",""score"":8.70162353E-07}],""entities"":[]}"
"extra-curricular activities",04/27/2017 05:17:29,"{""query"":""EXTRA-CURRICULAR ACTIVITIES \n"",""intents"":[{""intent"":""extraCurricular"",""score"":0.947650552},{""intent"":""None"",""score"":0.106435485},{""intent"":""Interests"",""score"":0.0435807854},{""intent"":""Internship"",""score"":0.0330936722},{""intent"":""languages"",""score"":0.0277446955},{""intent"":""Education"",""score"":0.023292657},{""intent"":""skills"",""score"":0.0127597852},{""intent"":""workExperience"",""score"":0.0060571963},{""intent"":""Research"",""score"":2.18250555E-08}],""entities"":[]}"
"co-curricular activities",04/27/2017 05:17:29,"{""query"":""CO-CURRICULAR ACTIVITIES \n"",""intents"":[{""intent"":""extraCurricular"",""score"":0.958310246},{""intent"":""None"",""score"":0.107895814},{""intent"":""Interests"",""score"":0.04302784},{""intent"":""Internship"",""score"":0.0341395},{""intent"":""languages"",""score"":0.0277311262},{""intent"":""Education"",""score"":0.0224170946},{""intent"":""skills"",""score"":0.0128532955},{""intent"":""workExperience"",""score"":0.006137487},{""intent"":""Research"",""score"":1.83348785E-08}],""entities"":[]}"
"educational background",04/27/2017 05:17:29,"{""query"":""EDUCATIONAL BACKGROUND"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
"november 2011",04/27/2017 05:17:29,"{""query"":"" November 2011 \n"",""intents"":[{""intent"":""None"",""score"":0.229029223},{""intent"":""Interests"",""score"":0.07676173},{""intent"":""Education"",""score"":0.07649248},{""intent"":""Internship"",""score"":0.049928572},{""intent"":""languages"",""score"":0.03999723},{""intent"":""skills"",""score"":0.0342525952},{""intent"":""extraCurricular"",""score"":0.02435898},{""intent"":""workExperience"",""score"":0.0102837887},{""intent"":""Research"",""score"":2.22212429E-06}],""entities"":[]}"
